OGLE-LMC-ECL-00132  ED   04:37:16.96 -67:03:56.3  LMC548.09.176    LMC152.8.2726   -                   
OGLE-LMC-ECL-00133  ED   04:37:19.93 -66:42:53.3  LMC548.18.751    LMC152.5.2957   -                   
OGLE-LMC-ECL-00134  ED   04:37:20.84 -69:36:51.0  -                LMC150.5.1488   -                   
OGLE-LMC-ECL-00135  ED   04:37:20.96 -69:46:10.4  LMC538.22.8227   LMC150.6.1578   -                   
OGLE-LMC-ECL-00136  ED   04:37:21.16 -67:22:19.0  LMC548.01.87     LMC153.3.72     -                   
OGLE-LMC-ECL-00137  ED   04:37:24.32 -68:41:06.2  LMC539.23.209    LMC155.2.5331   -                   
OGLE-LMC-ECL-00138  ED   04:37:26.79 -69:06:03.0  LMC539.06.7783   LMC149.6.320    -                   
OGLE-LMC-ECL-00139  ED   04:37:26.90 -70:21:52.7  LMC538.05.6752   LMC151.6.5409   -                   
OGLE-LMC-ECL-00140  ED   04:37:28.67 -69:32:38.0  LMC538.30.702    LMC149.8.1478   -                   
OGLE-LMC-ECL-00141  ED   04:37:29.48 -68:10:39.2  LMC539.31.5812   LMC154.2.745    -                   
OGLE-LMC-ECL-00142  ED   04:37:31.56 -70:42:35.6  LMC537.28.1591   LMC151.8.5694   -                   
OGLE-LMC-ECL-00143  ED   04:37:32.91 -68:57:41.1  LMC539.14.1137   LMC149.5.1354   -                   
OGLE-LMC-ECL-00144  ED   04:37:34.38 -68:49:28.5  LMC539.14.7400   LMC155.1.5487   -                   
OGLE-LMC-ECL-00145  ED   04:37:35.02 -68:49:44.1  LMC539.14.7756   LMC155.1.6096   -                   
OGLE-LMC-ECL-00146  ED   04:37:38.00 -68:13:47.1  LMC539.31.141    LMC154.1.4737   -                   
OGLE-LMC-ECL-00147  ED   04:37:39.70 -69:43:37.8  LMC538.21.8287   LMC150.6.5624   -                   
OGLE-LMC-ECL-00148  ED   04:37:42.81 -70:18:47.8  LMC538.04.9080   LMC151.6.5502   -                   
OGLE-LMC-ECL-00149  ED   04:37:43.15 -69:18:26.8  LMC539.06.218    LMC149.7.411    -                   
OGLE-LMC-ECL-00150  ED   04:37:44.68 -69:16:18.4  LMC539.06.722    LMC149.7.818    -                   
OGLE-LMC-ECL-00151  ELL  04:37:45.81 -69:33:30.1  LMC538.29.1027   LMC150.5.5299   -                   
OGLE-LMC-ECL-00152  ED   04:37:46.00 -67:06:33.9  LMC548.08.569    LMC152.8.3374   -                   
OGLE-LMC-ECL-00153  ED   04:37:49.51 -68:12:15.0  LMC539.31.6073   LMC154.2.5408   -                   
OGLE-LMC-ECL-00154  ED   04:37:50.02 -69:31:27.2  LMC538.29.543    LMC149.8.499    -                   
OGLE-LMC-ECL-00155  ED   04:37:51.37 -69:52:23.8  LMC538.21.873    LMC150.7.6345   -                   
OGLE-LMC-ECL-00157  ED   04:37:53.48 -70:31:17.9  LMC538.04.1284   LMC151.2.1161   -                   
OGLE-LMC-ECL-00158  ED   04:37:53.60 -69:01:36.0  LMC539.06.9665   LMC149.5.1517   -                   
OGLE-LMC-ECL-00159  EC   04:37:55.56 -70:35:13.2  LMC537.28.6627   LMC151.1.224    -                   
OGLE-LMC-ECL-00160  ED   04:37:56.30 -68:24:39.7  LMC539.23.6749   LMC148.5.159    -                   
OGLE-LMC-ECL-00161  ED   04:37:57.86 -68:15:36.3  LMC539.31.376    LMC154.1.4898   -                   
OGLE-LMC-ECL-00162  ED   04:37:58.91 -67:31:35.1  LMC540.15.4023   LMC153.2.862    -                   
OGLE-LMC-ECL-00163  ED   04:38:01.74 -67:21:19.2  LMC540.24.424    LMC153.3.307    -                   
OGLE-LMC-ECL-00164  ED   04:38:02.21 -69:28:32.7  LMC538.29.242    LMC149.8.552    -                   
OGLE-LMC-ECL-00165  ED   04:38:03.44 -66:52:06.3  LMC548.08.4105   LMC152.3.548    -                   
OGLE-LMC-ECL-00166  ED   04:38:05.16 -68:33:53.2  -                LMC148.6.590    -                   
OGLE-LMC-ECL-00167  ED   04:38:06.82 -68:59:02.3  LMC539.13.208    LMC149.5.909    -                   
OGLE-LMC-ECL-00168  ELL  04:38:07.45 -67:54:31.4  LMC540.07.4529   LMC154.4.4393   -                   
OGLE-LMC-ECL-00169  ED   04:38:08.10 -67:18:14.8  LMC540.24.2919   LMC153.4.103    -                   
OGLE-LMC-ECL-00170  ED   04:38:12.90 -68:04:10.5  LMC540.07.65     LMC154.2.4612   -                   
OGLE-LMC-ECL-00171  ED   04:38:13.71 -69:22:50.9  LMC538.29.9621   LMC149.7.186    -                   
OGLE-LMC-ECL-00172  ED   04:38:14.91 -69:34:11.4  LMC538.29.1777   LMC150.5.6158   -                   
OGLE-LMC-ECL-00173  ED   04:38:15.28 -70:32:53.3  LMC537.28.7264   LMC151.2.773    -                   
OGLE-LMC-ECL-00174  ED   04:38:17.25 -67:56:27.9  LMC540.07.1143   LMC154.3.4722   -                   
OGLE-LMC-ECL-00175  ED   04:38:19.41 -68:26:56.1  LMC539.22.8417   LMC148.5.1057   -                   
OGLE-LMC-ECL-00176  ED   04:38:20.17 -67:45:06.0  LMC540.15.7      LMC153.1.9      -                   
